Entity-Destination	3	6	He added the explanation to the comments.
Product-Producer-Inv	8	13	Before introducing Via in three test markets, the company told employees an elaborate story about its creation.
Entity-Origin-Inv	7	8	The big secret is that their white cream sauce is in fact the same ranch sauce they put on their salads and for dipping.
Other	1	8	Foreign minister participated in a high level UN conference on financing for development.
Instrument-Agency-Inv	1	5	The diener takes a large scalpel and makes the incision in the trunk.
Other	1	6	The tenant has farmed for this owner for several years and doesn't want to lose the ground, but also does not want to pay the large increase in rent.
Content-Container	16	19	It carried 1500 gallons of water in its split saddle tanks and 700 gallons of fuel oil in a bunker behind the cab.
Message-Topic	2	9	The first chapter gives an account of the ancient history of the country.
Component-Whole-Inv	1	10	The ear is made up of three different sections: the outer ear, the middle ear, and the inner ear.
Entity-Origin	2	5	As a train moves from station to station, its passengers glimpse different worlds of people.
Entity-Destination	3	7	These people dropped animal food into the lake.
Component-Whole-Inv	5	10	The second day of the conference started with the fourth session on knowledge.
Other	6	9	The turbines are making an electricity system with low carbon emissions even greener - already, in Seattle, more than 90 percent of the power comes from renewable sources.
Entity-Destination	0	4	 Wealth is migrating into communities in Verde Valley/Sedona.
Member-Collection-Inv	1	9	The management of the club consists of Thai office bearers and local expatriate volunteers.
Component-Whole-Inv	7	11	As a result of this consolidation, the area comprised of these villages is now called Kalbach, but each village still has its own identity on a map.
Product-Producer	10	14	Thrombopoietin is a glycoprotein hormone that regulates the production of platelets by the bone marrow.
Component-Whole-Inv	5	8	Coquina is a poorly consolidated limestone composed of pieces of coral or shells.
Entity-Destination	2	6	The progenitor cells migrated into the tumor.
Component-Whole-Inv	9	10	The pictorial demonstration below shows how to put your skirt waistband on after you have sewn your zipper and how to join and serge the skirt side seams.
Product-Producer-Inv	0	5	 Astrophysicists have discovered a new explanation for the early composition of our solar system.
Message-Topic	1	3	This book relates tales, which were recorded by a popular minister in the early 1900's.
Member-Collection-Inv	1	3	The library contained books of guidance on the processes.
Entity-Origin-Inv	5	6	The Indians drink so much maize liquor that it makes them drunk.
Other	10	12	Also included is our Commission Authorization form, which collects the author's contact information and authorizes us to retain our standard 5% commission.
Component-Whole-Inv	1	5	This machine has a high-speed semiconductor switch for quick interruption and restart.
Content-Container-Inv	4	8	I have a large garbage bag full of clothes for a teen or preteen girl.
Cause-Effect	8	10	Furthermore, the substrate doping density at which impact ionization causes avalanche breakdown at the trench capacitor junction has been estimated.
Cause-Effect	1	4	The person providing the alibi is the culprit and would be providing a fabricated alibi.
Product-Producer	9	10	It is also illegal for anyone other than the drug's manufacturer to re-import a prescription drug that was originally manufactured in the United States.
Component-Whole	10	13	Edmund produced a small, green spiral notebook from the back pocket of his jeans.
Message-Topic-Inv	10	13	The Board selected a list of expenditure reduction and revenue increase from the list attached to staff report.
Member-Collection-Inv	4	6	Bon vivants were a subculture of homosexuals who partied in the 50's.
Member-Collection-Inv	1	4	The club consists of parents, friends, alumni and local businesses.
Member-Collection-Inv	24	27	In the film, Howell plays a cop who gets involved with a murder witness, only to find out that she's part of an international ring of sex-for-hire beauties.
Product-Producer	5	16	The first British steam powered vibrator dates back to the early 1880s, developed by an American physician.
Cause-Effect-Inv	1	3	Knee injuries from running are treated and prevented by following tips and performing stretches from Runner's World.com.
Component-Whole	15	18	Ahead of her the young woman stops again and is leaning over the heavy iron railing of the bridge.
Content-Container	1	6	The pizza dough was in a bin on the floor.
Member-Collection	2	3	The three ship fleet of Columbus consisted of two ships known as caravels (Pinta and Nina) and a larger ship which served as Columbus's flag ship.
Other	1	7	The vowel length was denoted by the acute accent.
Entity-Origin	2	7	It is stardust that remains from previous cycles of evolution, cycles without a beginning or end.
Product-Producer-Inv	7	11	Police foiled an attempt to kill an artist who drew a cartoon depicting the Prophet Muhammad that sparked outrage in the Muslim world.
Member-Collection-Inv	5	7	The effective utilization of a cluster of workstations for the implementation of a scientific application requires a highly flexible software environment.
Other	1	4	The mistress fries the rashers in a small china fryingpan over the lamp, passing to each person the hot slices as they are done.
Entity-Destination	3	10	This remarkable research ship is vertically sinking into the deep ocean.
Product-Producer	4	5	I work in a design studio and by chance it's a really good profession for me.
Entity-Origin	7	12	In some of the other stories, an orphan runs away from the orphanage.
Message-Topic-Inv	1	9	The position of the OECD has been criticized in literature.
Entity-Origin	9	12	The cross over is going to take away the lows from the drivers anyway.
Entity-Origin-Inv	1	2	That strawberry jelly was more like strawberry glue.
Component-Whole	1	3	The mycelia of truffles form symbiotic relationships with the roots of several tree species.
Other	11	15	This study presents a comprehensive methodology for calculating the cost to society of various criminal acts.
Instrument-Agency-Inv	1	4	A man attaches a rope to a 20 kg block, pulling it across a floor with constant velocity.
Member-Collection-Inv	15	18	I saw his piece in The Post this morning, and it is predicated on a bunch of erroneous conclusions.
Entity-Destination	4	7	The man pushed the woman into the windscreen.
Entity-Destination	1	6	The bacterium is spreading into the stalk tissue.
Other	8	13	At the end of a long day, the teacher relaxed with a short nap on her sofa.
Product-Producer-Inv	2	8	Even the toddlers make a tasty mint pea soup at the kids' cooking school in Bucktown that tax attorney Elena Marre gave up her law practice to open.
Product-Producer-Inv	5	17	Sam Houghton, a five-year old boy from Buxton, Derbyshire, patented an invention after coming up with an idea for a labour-saving broom to help his father sweep up leaves.
Message-Topic	2	6	In his remarks, he described his call to Bush while the U.S. president was giving a speech in Philadelphia.
Content-Container-Inv	1	5	The box holds all our empty promises to give back, to help others, to do something worthwhile - if only we weren't so busy.
Other	5	8	The Code applies to all sponsorship related to corporate image, brands, products, services activities or events of any kind.
Product-Producer	6	8	Art, a concept separate from both artwork and creator, thus exists as the source for them both.
Component-Whole	1	4	The crust of the planet was flooded with melt and the crater tended to erase itself.
Entity-Destination	3	6	We have injected liquidity into the banking system.
Cause-Effect-Inv	2	4	Their chemical activation by light (halogen, plasma, lasers, etc.) enhances their efficiency by reducing exposure time and number of appointments.
Cause-Effect	6	10	But not every run of the experiment produced the desired state - a very large number of failed tries accompanied each successful creation.
