Content-Container-Inv	1	7	The kitchen contains basic items such as salt, pepper and olive oil.
Cause-Effect	0	9	 Cardiovascular disease is one of the leading causes of morbidity and mortality in the UK, as well as in the developed and the developing world.
Cause-Effect-Inv	4	8	Information about Salmonellosis, an illness caused by a bacteria found in raw food, soil, or water.
Cause-Effect-Inv	11	16	Mixed in equal parts with peppermint, Elder flowers help reduce the fevers and aches caused by colds and the flu.
Product-Producer-Inv	5	6	This comment refers to the author's reply.
Other	7	8	The item is engraved with the English author's initials.
Entity-Origin-Inv	10	11	She made a face at him and slowly sipped her guava nectar, watching him over the rim of her glass.
Member-Collection-Inv	1	3	The school of fish mentioned in the title poem of this book live at the bottom of the sea, but are somehow addicted to light.
Content-Container	6	11	He used a stable form of liquid nitroglycerin carried in a bottle labeled as contact lens solution, using cotton as a stabilizer.
Product-Producer-Inv	1	4	The artist made the picture when he was a fourth grade student in Iowa City.
Cause-Effect	5	8	In the 1998 crisis, capital flight caused a crisis on the currency markets, as the removal of funds from Russia necessarily entailed the conversion of rubles to dollars.
Component-Whole	1	5	The axis of the drive wheel of the internal Geneva drive haves a bearing only on one side.
Cause-Effect-Inv	13	17	The voltage swing obtainable across the load is greater than the output voltage swing obtainable from the amplifier alone, thus the efficiency of the amplifier system and power handling capacity of the system are improved.
Entity-Destination	3	14	Three poor seal pups rescued from the Yorkshire coast were released back into the wild at Seal Sands on Teesside.
Component-Whole	1	4	The aisles in the supermarket are well-designed.
Component-Whole	11	15	Because some of these terms are used in the case study chapters later in the book, they are defined here now.
Message-Topic	1	9	This paper is a review of frequency stability measurement techniques and of noise properties of frequency sources.
Member-Collection-Inv	1	6	The club consists of 902 condominium homes each with a unique golf course or lake view.
Cause-Effect	1	7	The microphone converts sound into an electrical signal.
Member-Collection-Inv	17	19	This classic Huffman photograph pictures the cow hands on their way to set up camp with their remuda of geldings trailing behind.
Member-Collection-Inv	6	10	My grandfather's backyard is an absolute jungle of old wrecked cars.
Product-Producer-Inv	1	2	The factory's waste had still not been proven as the cause of Minamata disease.
Product-Producer	6	7	We put frozen prawns in the popcorn maker, and we obtained prawn crackers.
Product-Producer-Inv	1	7	A songwriter is someone who writes the lyrics, as well as the musical composition or melody to songs.
Component-Whole	2	5	The curved spans of the bridge are the original sections.
Cause-Effect-Inv	1	5	The afterglow is produced by shock waves in the jets of tenuous gas that shoot from the blast at almost the speed of light.
Content-Container-Inv	5	7	The molotov cocktail is a bottle with gasoline in it that has a damp cloth in the top that acts as a wick.
Product-Producer	5	12	"This is effective public relations writing from the mind of a retired editor with a dose of ""stickiness""."
Other	1	7	The arrest completes a dismal past five weeks for the 25-year-old.
Entity-Destination	3	7	He inserted a needle into the tattoo machine.
Member-Collection-Inv	14	19	I will need a Stevyn sized box as I have more mucus than an escargotoire of giant African land snails.
Other	7	12	The government of Iraq has established a committee to consider a proposed amendment to the Constitution of Iraq.
Instrument-Agency-Inv	4	8	In tele-operation, a human operator manipulates a control stick to generate a command signal so that a robot performs a specified task.
Instrument-Agency-Inv	3	7	Similarly, the western physician's white coat and stethoscope and the environment of western medical clinics and hospitals create an aura of expectancy and hope for healing.
Entity-Destination	3	6	The bacteria released arsenic into the groundwater.
Cause-Effect	9	13	Amtrak expects a normal rush hour after a fatal accident near Baltimore caused delays along the Northeast corridor.
Member-Collection-Inv	2	7	The lower house was composed of elected representatives.
Cause-Effect-Inv	10	17	Many more resources are required in order to stem the devastation that has been caused by the epidemic throughout sub-Saharan Africa.
Cause-Effect-Inv	2	6	Because the fire was caused by fireworks, costs associated with suppressing the fire were also applied.
Instrument-Agency-Inv	13	15	These are some of the many ways in which Hitler and the Nazi party used propaganda in order to brainwash and manipulate people into thinking that the Nazi party was a good party to be in.
Cause-Effect-Inv	12	14	Polar bears and hippos have joined the ranks of species threatened with extinction from climate change, unregulated hunting and other dangers created by humans.
Component-Whole	12	17	Microorganisms in your oral flora gain access to the pulp chamber and root canals in the affected tooth.
Component-Whole-Inv	2	7	This LED system contains 5 colored LED bulbs meant to calm the mind and provide a truly memorable bathing experience.
Other	4	9	This is the sprawling complex that is Peru's largest producer of silver.
Message-Topic	1	4	These resources discuss the development of photography through the 20th century.
Other	12	20	The town's population is approximately four, the school closed years ago and birds have turned the church into a poop-caked aviary.
Cause-Effect	11	16	I forgot to shut the bathroom door before showering and the steam set off the smoke alarm on the wall between the bathroom and my bedroom.
Cause-Effect-Inv	16	21	Primary wholesale markets are held in a fixed place and transact daily a large volume of business emanated from the village markets.
Cause-Effect-Inv	1	5	The infection came from a wound.
Member-Collection-Inv	6	11	A survey made for the statistical society of the various Sunday schools in Manchester and Salford in 1836 returned the number of Catholic schools as ten, with an attendance of 4295 scholars.
Instrument-Agency	1	2	The microwave oven is one of the great inventions of the 20th century.
Instrument-Agency-Inv	1	4	The owner uses your information solely in order to process your credit card payment.
Other	10	15	By charging odd amounts like 49 or 99 cents, the cashier very probably opened the till.
Other	10	13	The theory in possession about leather-making shows that penetration and bond of tanning agents are supplement each other during the tanning process.
Cause-Effect	2	5	The dancing duo caused a stir on the 2008 series of the show with their infusion of classic Michael Jackson songs and dance moves mixed with bangra.
Entity-Origin-Inv	0	1	 Strawberry jam is the perfect way to use a glut of strawberries and is so easy to make with this Strawberry Jam recipe.
Cause-Effect	3	8	We minimized excessive flows that cause flooding, bank erosion, and habitat loss.
Other	9	15	The vessel went down in a typhoon and the man was discovered inside a cork buffer used to prevent damage to the ship during docking.
Message-Topic	1	3	The report investigates migration in the context of demographic changes and trends in both growth and inequality.
Other	1	5	These loans are travelling into foreclosure significantly slower than conventional loans.
Cause-Effect-Inv	1	6	The warmth was radiating from the fireplace to all corners of the room.
Member-Collection-Inv	9	15	A statement of the boards, councils, committees and other bodies consisting of two or more persons constituted as its part or for the purpose of its advice, and as to whether meetings of those boards, councils, committees and other bodies are open to the public, or the minutes of such meetings are accessible for public.
Message-Topic	1	6	The statute applied to the six dominions which existed in 1931.
Member-Collection-Inv	8	10	It is a beautiful sight to watch a bouquet of pheasants fly from their nesting area, straight up into the sky.
Entity-Destination	1	7	The trays were placed into a mixed beaker of 4 drops Ivory liquid.
Cause-Effect-Inv	1	6	The pain was caused by the parasite entering the body through the skin during bathing or drinking of infested water.
Component-Whole	10	15	He noticed that this black substance was also on the lid of the cracked stone casing.
Member-Collection-Inv	2	5	The major population constitutes of farmers and agriculture related business men and merchants.
Cause-Effect-Inv	3	10	But the most damage has been caused by the corrosive effects of wind and water.
Member-Collection-Inv	22	25	One caravan trail developed into the Silk Road. During the height of caravan travel, which lasted until the 19th century, a single caravan of Muslim pilgrims journeying from Cairo and Damascus to Mecca might employ as many as 10,000 camels.
Instrument-Agency-Inv	2	5	Before the barber takes his scissors out, family, friends and rabbis take turns snipping.
Component-Whole	5	12	The cat's large and prominent eyes are placed well forward on the head and, like the eyes of humans, they face forward.
Message-Topic	10	15	A variety of methods are known, but only a few papers give details of equipment construction.
Cause-Effect-Inv	15	17	But Hong Kong was able to recover from that and is now experiencing strong economic growth from exports.
Member-Collection-Inv	5	7	We do have a fledgling population of cosmopolites living the good life almost without cars.
Product-Producer	7	12	Smith was referring to the fictional Kazakhstani character created by the British comedian.
Entity-Destination	1	9	I/O traffic is transferred directly into a target processor cache in accordance with routing information.
Component-Whole-Inv	4	10	"He purchases only microwave ovens that have a ""fail safe"" mechanism, which shuts off the power when the door is opened or prevents the door from opening when the oven is operating."
Cause-Effect	2	6	The continuous rains had caused the overflow of Sulangaling River, a creek of the Muara Batang.
Entity-Origin	12	15	Lots of people responded positively to my recent post about favorite fictional towns from children's literature.
Other	2	8	An Iraqi unit is sent to battle the cult.
Component-Whole-Inv	19	21	With a concert coming up in only 4 hours, you are working feverishly to perfect the tune of the piano 's strings.
Cause-Effect-Inv	1	6	The problems are caused by buffer overflows when parsing an overly long parameter.
Message-Topic-Inv	1	7	These subjects were thoroughly investigated at the conference during the three seminars each of high specialist content.
Message-Topic	1	4	This section outlines the duties of the Trust with respect to setting the BBC's editorial standards.
Product-Producer-Inv	1	7	His wife has just completed the first paper of her graduate degree.
Other	15	20	It became an obsession but, frustrated at every turn, he eventually made do with a copy made by a family firm in Nottingham.
Content-Container-Inv	7	12	A tokamak is a toroidal (doughnut shape) magnetic bottle that contains the fusion plasma.
Entity-Origin	11	14	It is an exceptional location to see Lake Tenkiller and private plane takeoffs from runway.
Instrument-Agency	10	13	For the original stud farm, desirous of producing the best horses for the dragoons and hussars, the lighter horse of a square frame was the ideal.
Component-Whole-Inv	1	8	"A house that contains a minimum of three bedrooms and a maximum of seven bedrooms to include the proprietor's bedroom is considered to be a ""B&B"" (a Town or Country Home or a Farmhouse)."
Component-Whole	12	15	They posted a note on the back of the door and the lid of the toilet.
Message-Topic	1	6	The news that there was an execution in Lydgate's house had got to Lowick by the evening.
Component-Whole	9	12	The stage was in the cellar, and all the lights in the shop were out; groans rose from a trap-door.
Component-Whole-Inv	21	22	With the knife at a 10- to 25-degree angle to the steel, he hold the steel rod steady and drew the knife blade down the steel.
Entity-Destination	3	6	Then, I put candy in my jar.
Other	10	13	Today most of the world's unreached people live in the jungle of big cities and no longer in the real jungle.
Message-Topic	7	11	My last post has driven some great discussion around what an open standard means.
Cause-Effect-Inv	1	7	The deficits caused by the fiscal stimulus package end in 2011 and will help to sustain a fragile recovery in 2010, the deficits projected for the longer term are a threat to our economic future.
Product-Producer	4	9	This teaches that the body is procreated by the parents and the soul and spirit are directly created by God and placed in the body.
Cause-Effect-Inv	2	6	The direct catastrophe caused by the earthquake was estimated at 10.2 billion euro, clearly justifying European intervention.
Other	20	21	Hardcore country cats are happy to live in the shed or the chicken house, or a nest deep inside a straw stack.
Entity-Origin-Inv	13	17	When man sinned, the occasion of his fall was a tree, and the ground cursed brought forth thorns.
Component-Whole-Inv	1	4	A lizard sticks its tongue out of its mouth.
Entity-Destination	2	7	Sufficient coagulation-deficient fluids were given to surgical patients.
Cause-Effect-Inv	9	13	Here are the news reports and photographs of the devastations caused by the storm.
Other	5	10	It is found that the polysilicon grows from an initial step of the deposition.
Other	5	8	Details about how Catholic Church dioceses dealt with allegations of child abuse are to emerge within the coming weeks.
Other	4	10	For years now my daughter has put up with verbal harssement from a girl.
Other	11	15	With lyrical descriptions of landscape and terse, unpunctuated dialogue, a distinctive voice powered a gripping story.
Other	1	7	The company has run into a financial problem over the last few years.
Other	13	19	The Buffs once again lacked playmakers, the wide receivers couldn't get open, the offense went away from the running game early.
Entity-Destination	1	11	The liver from the donor has been successfully transported into the patient.
Other	2	7	Most commercial pasta is made by this method.
Content-Container	3	7	At noon the money was in the desk, and in the evening the pocket book that contained the money, was left in the drawer with 40 cents, but $265 was missing.
Entity-Destination	3	6	The organization delivered meals to homebound seniors.
Member-Collection-Inv	13	16	"Outside the walls of Athens, the site of the Academy was a sacred grove of olive trees, still recalled in the phrase ""the groves of Academe."""
Component-Whole	1	9	This module is part of the Virtual Geography department project and has been prepared for the Physical Geography Working Group of the Project.
Component-Whole	1	2	A staysail schooner has no foresail, but instead carries a main staysail between the masts in addition to the fore staysail ahead of the foremast.
Entity-Origin	3	9	A habitat suitability index was generated from an elevation surface.
Entity-Destination	4	8	I have removed the bubbles into the glass tubes.
Product-Producer-Inv	2	9	An Italian craftsman has created the world's smallest nativity scene - on the head of a pin.
Message-Topic	1	5	The essay inquires into the origins, nature, and usage of the term in multiple contexts.
Instrument-Agency-Inv	1	5	Cuban ballplayers wield a bigger policy bat.
Member-Collection-Inv	14	16	The translucent blue plastic belied the heady resonance of the instrument, and like a mission of monkeys, several coworkers were lured into the room by the dulcet tones of my accordion.
Other	11	17	Next to Moll lived the celebrated actress Nancy Dawson, a former harlot made famous by her lascivious hornpipe in Gay's phenomenally popular The Beggar'ss Opera.
Message-Topic-Inv	2	7	Lina's incredible story was documented in contemporaneous reports by Edmundo Escomel.
Entity-Destination	1	5	Several cats ran into Rob's garage.
Other	2	6	The developmental bureaucracy has come into being.
Component-Whole-Inv	5	8	The northern half of the block includes a parking structure with five levels.
Product-Producer-Inv	14	20	With the end of his task, Gibbon felt that ambiguous elation known to all authors who have completed a weighty work.
Entity-Destination	0	9	 Job listings in India have been added to our careers section.
Product-Producer-Inv	1	8	The factory produced several versions of the RAF-2203 minibuses based on GAZ-24.
Component-Whole-Inv	9	10	This reflects much of the light back towards the lamp fitting.
Entity-Origin	2	5	In an excerpt from upcoming books, Andre Agassi says he took what he believes to be speed.
Entity-Origin	9	12	In Swahili, Jana means yesterday; so here are some items from her yesterdays.
Message-Topic	12	19	The Catalog of Norwegian Research Institutes and Laboratories is a database containing information on more than 110 R&D performing institutions in the Norwegian Institute Sector.
Cause-Effect	1	9	Financial stress is one of the main causes of divorce.
Entity-Origin	1	5	The sagas developed from the oral culture of the Viking Age.
Cause-Effect-Inv	1	3	Old scars from stitches that were successfully put in but ripped out by the individual are also common.
Component-Whole	5	8	"He went to the kids department in the store, decorated one of the ""Little Brown Bags"" and was entered to win prizes, including a $100 shopping spree."
Entity-Destination	5	8	The murder has dragged the victim into the water.
Entity-Destination	3	9	The freeze-dried dura mater was placed into warm sterile saline for 20 minutes before grafting.
Instrument-Agency-Inv	0	5	 Evaluators applied the statistically accurate generalization that men are usually taller than women to their estimates of the height of individuals who did not necessarily conform to the generalization.
Entity-Origin-Inv	0	2	 Peanut butter cookies are simply cookies that use peanut butter as one of the ingredients.
Other	5	11	Providence had sent the old man into the world with a chisel in his hand.
Product-Producer	18	23	The most telling critique of this delusional foreign policy comes in regular instalments in the form of a blog by the former British ambassador to Poland.
Cause-Effect	2	9	In conclusion, incubation of the aorta produces a specific reduction in agonist-evoked contraction.
Component-Whole	4	10	About 2000 feet of passageways have been located inside the cave, and about half of that has been mapped.
Entity-Destination	3	6	They have poured millions into these projects.
Cause-Effect-Inv	7	11	For decades, most of the nation's renewable power has come from dams, which supplied cheap electricity without requiring fossil fuels.
Entity-Destination	2	8	The 9/11 planes directly flew into the computer rooms.
Cause-Effect	1	6	A lamp emiting a strong white light is placed on an mobile block makes it possible to the scanner to sweep all the document.
Entity-Origin	0	6	 Voters are eluded from the fundamental issues.
Product-Producer-Inv	5	9	The main product of the factory is white granulated sugar, which goes into industry with, for example, Coca Cola being one of the largest customers.
Entity-Destination	2	7	She poured flour into a flat metal pan.
Entity-Origin	5	10	For the present, the religious conception uprises from the human intellect.
Other	1	5	The container encloses a one-cup capacity, plus with the bonus lid it provides convenient storage of chopped foods.
Member-Collection-Inv	4	7	The site has a lounge of dedicated lizards who vote out anyone with whom they do not agree.
Message-Topic	2	5	The melodramatic plot dealt with crises of human emotion.
Entity-Destination	3	6	The prosecutors carried guns into the court room.
Other	14	17	US forces fared so well that MacArthur gained Truman's permission to attempt a total rout of communist forces.
Cause-Effect-Inv	0	6	 Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.
Other	8	9	A detailed estimate is built up of many component parts which may result in cumulative errors.
Product-Producer	10	15	In both course offerings, all except one student completed the questionnaire designed by the university coordinators.
Cause-Effect	0	5	 Addiction and poverty lead to neglect and abuse.
Entity-Origin	4	7	In Lotus, the 1st circuit departed from precedent, narrowing protection for developed software and giving crafty litigators a blank disk.
Other	13	16	Clinton Portis, who missed last week's game against Dallas because of a shoulder injury from the preseason, rushed for 86 yards on 16 attempts to become the fifth-fastest player to reach the 6,000-yard mark in his career.
Other	10	14	In my Vancouver home there is small portion of our kitchen that contains my desk.
Cause-Effect	7	13	In early 2007 renewed a coal mining activity in the region triggered the earthquake, although earthquake activity has been present in the area at least since white settlement first occurred.
Other	8	12	They calculated the exit positions of the backscattered electrons from a single-scattering approach.
Component-Whole	2	6	The small wheel of the button panel is limited to the range of a button, so you don't have to worry that you turn into another function.
Instrument-Agency	1	5	A car battery powered a laptop computer connected to a small, portable satellite antenna.
Member-Collection-Inv	12	15	Here at Flamingo Gardens we are proud to have the most prolific romp of river otters in the world, and romp they do.
Cause-Effect-Inv	15	18	But in 1993, Montalban had a 10-hour surgery to try to alleviate the pain and discomfort from this injury.
Other	3	8	In this method, multiword concepts are treated as single words.
Cause-Effect-Inv	2	7	High blood pressure is caused by a narrowing of the arteries, which means the heart has to work harder in order to push the blood through.
Message-Topic	3	8	The first two papers define the contemporary terrorist threat while the next three papers examine global counter-terrorism trends.
Content-Container	2	7	The motor unit is housed inside a caisson.
Entity-Destination	2	7	The committee meetings have been rescheduled to tomorrow, January 17.
Other	3	9	The sliding bar assembly is attached to the removable panel and the bush is mounted to the panel's stationary support.
Other	2	7	When the cleaner was down in a cistern, the children enjoyed looking down into the cistern to see him work.
Component-Whole	4	9	In any forest, the carbon is stored in the plants and trees.
Message-Topic	1	3	This book approaches painting in a traditional manner with an extreme sensitivity to light and texture.
Entity-Destination	1	7	Categorical data were misplaced into the wrong category.
Other	6	9	The height-time profiles revealed that the downflow started at times of the deceleration phase of the CME core.
Entity-Destination	0	7	 Jars were then placed into three separate cages.
Cause-Effect-Inv	1	3	Sudden death from inhalation of petroleum distillates is well recognised in misuses of volatile substances.
Member-Collection-Inv	5	8	Meanwhile, General Wadsworth with a detachment of militia volunteers and Winfield Scott's regulars crossed the river to reinforce Captain Wool's position and take command.
Cause-Effect-Inv	8	12	In North America, about 58 percent of the wildfires are caused by humans.
Other	4	12	A declarative sentence or declaration, the most common type, commonly makes a statement.
Cause-Effect-Inv	4	7	Sumatera (Yagasu) made a profit from the selling of women groups' handicrafts activities.
Message-Topic	2	6	A local gallery is promoting the work of a diverse range of artists from across the region.
Entity-Destination	4	8	My wife mistakenly poured water into the valve cover of her 1999 Sebring when it began overheating.
Product-Producer	2	8	The 82500-seat stadium was built privately by the teams, the first constructed to serve as the host of two NFL teams.
Instrument-Agency-Inv	1	10	The student creates compositional forms using a sequencer or notation program.
Instrument-Agency-Inv	1	12	Most musicians have developed a standard of their own for cleaning their instruments.
Component-Whole-Inv	3	7	The Aroon indicator system consists of two lines, 'Aroon(up)' and 'Aroon(down)'.
Cause-Effect	8	13	While it took only minutes for the Pacific tsunami and earthquake to cause havoc to the south coast of Samoa, the rebuilding and reconstruction efforts will take years.
Entity-Destination	2	6	The o-dichlorobenzene extractant was removed into chlorobenzene for the first step of rough separation.
Other	3	10	This government views science simply as a tool for profit generation.
Entity-Origin-Inv	3	4	Once all the corn liquor is collected, you have to proof it down.
Cause-Effect-Inv	4	7	The log truck caught fire after the collision, but the 35-year-old driver escaped before the cab became engulfed in flames.
Content-Container	6	9	We served a bowl of delicious soup in a dish of ivory china.
Other	10	13	These emotionally wrenching experiences encouraged the volunteers to seek the comradeship of fellow veterans.
